English,Japanese
looter,略奪者
looting,略奪
lop,切り調える
lopsided,偏った
loquacious,おしゃべりな
lord,君主
lordly,堂々と
lordship,支配
lordy,なんてこった
lore,伝承
lorry,大型トラック
lose,失う
loser,敗者
losing,負け
loss,損失
lost,失われた
lottery,宝くじ
lotus,蓮
loud,大声で
louder,大声
loudest,最大音量
loudly,大声で
Louisiana,ルイジアナ州
lousy,気に食わない
lout,腰をかがめる
Louvre,ルーブル美術館
lovable,愛らしい
love,愛
loveable,愛らしい　
loved,愛さ
loveliest,最も美しい　
loveliness,愛らしさ
lovely,愛らしい
lover,恋人
lovesick,恋に悩む
loving,愛する
lovingly,愛情を込めて
low,低い　
lowbrow,教養のない
lowdown,真相
lower,下側
lowercase,小文字
lowering,低下
lowery,荒れ模様の
lowest,最下位
lowland,低地
lowly,卑しい　
lox,液体酸素
loyal,忠実な
loyalty,忠誠心
lozenge,ひし形
lube,潤滑油
lubricant,潤滑剤
lubricate,潤滑
lubrication,潤滑
lucent,光る
lucid,明快な
lucidity,明快
luck,運
luckiest,最も幸運な
luckily,幸いにも
luckless,失敗して
lucrative,もうかる
lucre,もうけ
ludicrous,ばかげた
luggage,荷物
lugubrious,悲しげな
lukewarm,ぬるい　
lull,小康状態
lullaby,子守唄
lumbar,腰部
lumber,製材
lumberjack,木こり
luminal,管腔の
luminary,光る
luminous,明るい　
lump,しこり
lumpectomy,腫瘍摘出手術
lumpy,塊の
lunacy,狂気
lunar,月の
lunatic,狂人
lunchbox,弁当箱
luncheon,昼食会
lung,肺
lunge,突進
lurch,窮地
lurid,身の毛もよだつような
lurk,潜む
lurker,潜んでいる人
luscious,甘美
lush,青々とした
lust,欲望
luster,光沢
lustful,貪欲な
lustrous,光沢のある
lusty,元気な
lutea,黄体
luteal,黄体の
luxe,ぜいたく
luxuriant,華麗な
luxuriate,楽しむ
luxurious,豪華な
luxury,贅沢
lying,横たわっている
lymphatic,リンパ管
lymphoblast,リンパ芽球
lymphocyte,リンパ球
lymphocytic,リンパ球の
lymphoid,リンパの
lymphoma,リンパ腫
lymphoproliferative,リンパ増殖
lyophilized,凍結乾燥された
lyric,歌詞
lyrical,叙情的な
lyrically,叙情
lyricism,叙情
lyricist,作詞家
lyrics,歌詞
lysate,溶解物
lyse,溶解する
lysed,溶解した
lysis,溶解
lysogenic,溶原性の
lysosomal,リソソームの
lytic,溶菌
mAb,モノクローナル抗体
macabre,恐ろしい　
Macedonian,マケドニア語
macerate,浸軟
machination,陰謀
machinery,機械
machinist,機械製作工
machismo,男っぽさ
macroeconomic,マクロ経済の
macromolecule,巨大分子
macroscopic,巨視的
macrostate,マクロ状態
macular,黄斑の
madly,狂ったように
madman,狂人
madness,狂気
Madre,マドレ湖
maelstrom,大混乱
mafioso,マフィアの一員
mag,雑誌
mage,魔法使い
magical,魔法の
magically,魔法のように
magisterial,権威のある
magistrate,奉行
magnanimity,寛大
magnanimous,寛大な
magnate,大物
magnetic,磁気
magnetism,磁気
magnetize,磁化する
magneto,磁気
magnification,倍率
magnificence,素晴らしさ
magnificent,壮大な
magnificently,見事に
magnify,拡大する
magnitude,大きさ
maiden,未婚の
mail,電子メール
mailing,郵送
mailman,郵便配達
mailroom,郵便仕分け室
maim,損なう
maimed,不具の
Maine,メイン州
mainland,本土
mainline,本線の
mainly,主に
mainstay,頼みの綱
mainstream,主流
maintain,維持する
maintaining,保守
majestic,雄大な
majestically,厳然と
majesty,威厳
majolica,マジョリカ焼き
Majorca,マヨルカ島
majority,過半数
make,作る
makeshift,その場しのぎの
makeup,化粧
makings,素質
maladjusted,不適応
malady,病気
malaise,沈滞
malarial,マラリアの
malarkey,たわ言
malate,リンゴ酸塩
Malawian,マラウイの
Malay,マレー語
Malayan,マレーの
Malaysian,マレーシアの
malcontent,不満
male,男性
malefactor,悪人
malevolence,悪意
malevolent,邪悪な
malfeasance,違法行為
malformation,奇形
malfunction,故障
malice,悪意
malicious,悪意のある
maliciously,悪意を持って
malign,悪性の
malignancy,悪性腫瘍
malignant,悪性の
malleability,可鍛性
malleable,柔軟
Mallorca,マヨルカ島
malnourished,栄養失調の
malnutrition,栄養失調
malpractice,医療過誤
malt,麦芽
maltreatment,虐待
mam,お母さん
mammal,哺乳類
mammalian,哺乳類
mammary,乳房の
mammographic,マンモグラフィの
man,男
manage,管理する
manageable,扱いやすい
management,管理
managerial,経営の
managing,管理する
Manchu,満州語
mandate,委任
mandatory,必須の
mane,たてがみ
maneuver,操作
maneuvering,操縦
mange,疥癬
manger,飼い葉おけ
mangy,貧弱な
manhandle,乱暴に扱う
manhood,男らしさ
maniacal,熱狂的な
manic,躁病の
manicured,手入れされた
manifestation,発現
manifested,明らかに
manifestly,明白に
manipulate,操作する
manipulation,操作
manipulative,整体の
Manitoba,マニトバ州
mankind,人類
manliness,男らしさ
manly,男らしい　
manner,方法
manoeuvre,操作
manor,荘園
manse,牧師館
manservant,下男
manslaughter,過失致死罪
manually,手動で
manufacture,製造
manufacturing,製造
manure,肥料
manuscript,原稿
Manx,マン島
many,多くの
Maoist,毛沢東主義
Mar,3月
marauder,略奪者
marble,大理石
marc,絞りかす
March,3月
marcher,デモ参加者
marginal,限界性の
marginalized,疎外
marginally,わずかに
mariachi,マリアッチ楽団
Maricopa,マリコパ族
marital,結婚の
maritime,海の
markdown,値下げ
marked,著しい　
markedly,顕著に
market,市場
marketable,市場性のある
marketer,マーケティング担当者
marketplace,市場
marksmanship,射撃
markup,値上げ
marooned,置き去り
marquis,侯爵
marriage,結婚
marriageable,結婚できる
married,結婚した
marrow,骨髄
marry,結婚する
Mars,火星
Marsh,湿地
marshland,湿地帯
marshy,湿地の
marsupial,有袋類
Martian,火星の
Martinique,マルティニーク島
martyr,殉教者
martyrdom,殉教
martyred,殉教者の
marvel,驚異
marvellous,素晴らしい　
marvelous,素晴らしい　
marvelously,見事に
Marxism,マルクス主義
Maryland,メリーランド州
Masada,マサダ要塞
masculine,男性
masculinity,男らしさ
masochistic,自虐的な
mason,石工
masonry,石造建築
masquerade,仮面舞踏会
mass,質量
Massachusetts,マサチューセッツ州
Massachusetts,マサチューセッツ州
massacre,虐殺
massacred,虐殺
massif,大山塊
massive,大規模な
massively,大規模な
mastectomy,乳腺切除
masterful,見事
masterly,見事な
mastermind,首謀者
masterpiece,傑作
masterwork,傑作
mastery,支配
masticate,かむ
masturbate,自慰行為をする
matchless,無比の
matchlock,火縄銃
matchmaker,仲人
matchup,一致する
mater,脳膜
material,素材
materialism,唯物論
materialist,唯物論者
materialistic,唯物論の
materialize,具体化する
materially,物質的に
materiel,資材
maternal,母性
matey,相棒
math,数学
mathematical,数学の
mathematically,数学的に
mathematician,数学者
mathematics,数学
mating,交配
matriarch,女家長
matriculation,入学
matrimonial,結婚の
matrimony,結婚生活
matron,寮母
matronly,品のある
matted,艶消し
matter,問題
maturation,成熟
mature,成熟した
maturity,満期
maudlin,感傷的な
maunder,とりとめなく話す
mausoleum,霊廟
maven,達人
maw,吸い込み口
maxed,大変疲れ
maxim,格言
maximal,最大の
maximally,最大限に
maximization,最大化
maximize,最大化する
maximized,最大化
maximum,最大
May,5月
Mayan,マヤ文明の 
maybe,多分
mayhem,騒乱
mayor,市長
mayoral,市長の
maze,迷路
me,私に
meadow,牧草地
meager,貧弱
meal,食事
mealtime,食事時間
mealy,粉(こ)を吹いた
mean,平均
meander,蛇行
meaner,意地
meanie,意地悪な人
meaning,意味
meaningful,意味のある
meaningfully,意味深長
meaningless,無意味な
meanness,卑劣
means,手段
meant,意味
meantime,その間に
meanwhile,その間
measles,はしか
measly,ちっぽけな
measurable,測定可能な
measure,測定
measurement,測定
measuring,計測
meat,肉
meaty,肉の
mechanically,機械的に
mechanism,機構
mechanistic,機構的な
mechanistically,機構的に
mechanized,機械化された
mechanoreceptor,機械的受容器
meddle,干渉する
meddlesome,おせっかいな
meddling,干渉
medial,中間の
median,中央値
mediate,介在する
mediated,媒介
mediation,調停
mediator,仲介者
medic,衛生兵
medically,医学的に
medication,投薬
medicinal,薬の
medicine,医学
medieval,中世の
mediocre,平凡
mediocrity,平凡
meditate,黙想する
meditation,瞑想
meditative,瞑想
Mediterranean,地中海
medullary,延髄
medulloblastoma,髄芽腫
meek,おとなしい
meet,会う
megabase,メガ塩基対
megabuck,巨額な資金力
megalomania,誇大妄想
megalomaniac,誇大妄想狂
meh,まあ
meiosis,控えめに言う
meiotic,減数分裂
Mekong,メコン川
melancholy,憂鬱
melange,ごちゃ混ぜ
melanoma,黒色腫
melee,乱闘
mellifluous,甘美な
mellitus,病
melodramatic,メロドラマ的な
melted,溶かした
melting,融解
membrane,膜
memento,形見
memoir,回顧録
memoirs,回顧録
memorabilia,記憶すべき事柄
memorable,覚えやすい　
memorandum,覚書
memorial,追悼
memorialize,記念する
memorize,覚える
memorized,記憶された 
menace,脅威
menacing,恐ろしい　
menagerie,動物園
menarche,初潮
mend,修理
mendacious,不正直
mendacity,うそをつくこと
Mendelian,メンデルの
menfolk,男たち
menial,単調な
meningitis,髄膜炎
meniscus,半月板
menopausal,閉経期
menopause,閉経
menses,月経
menstrual,月経の
menstruate,月経
menstruation,月経
mentally,精神的に
mention,言及
mercantile,商業の
mercenary,傭兵
merchandise,商品
merchant,商人
merciful,慈悲深い　
mercifully,幸いに
merciless,無慈悲な
mercilessly,情け容赦なく
mercurial,水銀の
mercy,慈悲
mere,単なる
merely,単に
merger,合併
meridian,子午線
meristem,分裂組織
merited,当然の
meritocratic,実力主義の
meritorious,称賛に値する
mermaid,人魚
merrily,陽気に
merriment,歓楽
mesenchymal,間葉
mesenchyme,間充組織
mesenteric,腸間膜の
meshwork,網細工
mesmerize,魅了する
mesmerized,魅了
mesoderm,中胚葉
meson,中間子
mesophilic,中等温度好性の
Mesozoic,中生代
mess,混乱
messed,めちゃくちゃ
Messiah,救世主
messy,乱雑な
metabolic,代謝の
metabolically,代謝的に
metabolism,代謝
metabolite,代謝産物
metabolize,代謝する
metal,金属
metallurgy,冶金
metamorphosis,変態
metaphase,中期
metaphoric,隠喩的な
metaphorical,隠喩的な
metaphorically,比喩的に
metaphysical,形而上学の
metaphysics,形而上学
metastasis,転移
metastasize,転移する
metastatic,転移性の
Metazoa,後生動物亜界
metazoan,後生動物の
mete,境域
meteor,流星
meteoric,流星の
meteorite,隕石
meteorological,気象の
meteorologist,気象学者
meteorology,気象学
methodical,整然とした
methodically,念入りに
methodological,方法論的な
methodology,方法論
methylated,メチル化
methylation,メチル化
methylmercury,メチル水銀
meticulous,細部まで行き届いた
meticulously,細心の注意を払って
metonymy,換喩
metropolis,大都市
mettle,勇気
mewl,赤ん坊の泣き声
Mexican,メキシコ人
Mexicano,メキシコ人の 
mezzanine,中二階
MgCl,塩化マグネシウム
Mgso,硫酸マグネシウム
miasma,瘴気(しょうき)
Mich,ミシガン州
Michigan,ミシガン州
Michiko,美智子
micmac,ミクマク語
microbe,微生物
microbial,微生物の
microbicide,殺菌剤
microbiologist,微生物学者
microbiology,微生物学
microbrew,地ビール
microclimate,微気候
microcosm,小宇宙
microdissected,顕微解剖
microdissection,顕微解剖
microeconomic,ミクロ経済学の
microenvironment,微環境
micrograph,顕微鏡写真
micronized,微粉化
microorganism,微生物
microscope,顕微鏡
microscopic,微視的
microscopy,顕微鏡検査
microsomal,ミクロソームの
microtubule,微小管
microvascular,微小血管の
microwave,電子レンジ
micturition,排尿
mid,中央の
midair,空中
midbrain,中脳
midday,正午
middleman,中間業者
middling,まあまあ
Mideast,中東地域 
midlevel,中間レベル
midlife,中年
midline,正中線
midnight,真夜中
midpoint,中間点
midriff,上腹部
midshipman,士官候補生
midsize,中型の
midst,真ん中
midsummer,真夏
midterm,中期
midway,中間
midweek,週半ば
Midwest,米国中西部
midwestern,中西部の
midwife,助産師
midwinter,真冬
midyear,一年のなかごろ
mien,物腰
miff,むっとすること
might,可能性がある
mightily,激しく
mighty,強大な
migraine,片頭痛
migrant,移住者
migrate,移動する
migrated,移行
migratory,移住性の
mild,穏やかな
milder,より穏やかな
mildew,うどん粉病
mildly,穏やかに
mileage,走行距離
milieu,環境
militancy,好戦性
militant,交戦状態
militarily,軍事的に
militarism,軍国主義
militarist,軍国主義者
militaristic,軍国主義の
militia,民兵
militiaman,民兵
milkman,牛乳屋
millennial,千年
million,100万
millionaire,富豪
millionth,100万分の1
millisecond,ミリ秒
milt,白子
mim,黙りがちな
mimetic,模倣剤
mimicked,模倣
mimicry,擬態
min,分
minced,刻んだ
mincemeat,ひき肉
mind,心
minded,熱心な
minder,世話をする人
mindful,心に留める
mindless,愚かな
mindset,考え方
mine,鉱山
mined,採掘された
minefield,地雷原
miner,鉱山労働者
Ming,明
mingle,交わる
mingled,混じり
miniaturize,小型化する
minimal,最小限の
minimally,最低限
minimization,最小化
minimize,最小化する
minimum,最小
mining,鉱業
miniscule,極小
miniseries,連続ドラマ
minister,大臣
ministerial,大臣の
ministration,奉仕
ministry,省庁
Minn,ミネソタ州
Minnesota,ミネソタ州
minority,少数派
minster,大聖堂
minstrel,吟遊詩人
minuscule,極小の
minute,分
minutely,細かく
minx,生意気な娘
miracle,奇跡
miraculous,奇跡的な
miraculously,奇跡的に
mirage,蜃気楼
mire,泥沼
mirror,鏡
mirth,歓喜
misadventure,不運な出来事
misanthrope,人間嫌い
misanthropic,人間嫌いの
misanthropy,人間嫌い
misapprehension,勘違い
misappropriate,不正流用する
misappropriation,横領
misassembly,組付けミス
misbehave,不作法にふるまう
misbehavior,不正行為
miscalculate,計算を誤る
miscalculation,誤算
miscarriage,流産
miscegenation,異人種間結婚
miscellaneous,雑多
miscellany,雑
mischief,いたずら
mischievous,いたずら好きな
misclassification,誤判別
misclassify,誤って分類する
misconception,誤解
misconduct,不正行為
miscreant,悪党
miscue,間違う
misdeed,悪行
misdemeanor,軽犯罪
misdirect,誤った方向に行く
misdirected,誤った
misdirection,宛先間違い
miser,守銭奴
miserable,悲惨な
miserably,惨めに
miserly,けちな
misery,悲惨
misfire,不発
misfortune,不幸
misgiving,疑念
misguide,誤った方向へ導く
misguided,見当違いの
mishandle,取り扱いを誤る
mishap,災​​難
misheard,聞き違い
mishmash,寄せ集め
misinformation,誤報
misinformed,誤解
misinterpret,誤解する
misinterpretation,誤解
misjudge,見損う
mislay,置き忘れる
mislead,欺く
misleading,紛らわしい　
mislocalization,誤局在
mismanagement,不始末
mismatched,一致しない
misnomer,誤称
misogynist,女嫌い
misogyny,女嫌い
misplace,置き忘れる
misprint,誤植
mispronounce,読み誤る
misquoted,誤って引用
misread,読み違える
misrepresent,不正確に伝える
misrepresentation,不当表示
missed,逃した
misshapen,不格好
missing,行方不明の
missionary,宣教師
missive,書状
Missouri,ミズーリ州
misstatement,虚偽表示
misstep,つまずき
missus,奥さん
mist,かすみ
mistaken,誤った
mistakenly,誤って
mistranslation,誤訳
mistreat,虐待
mistreated,虐待された
mistreatment,虐待
mistress,愛人
mistrial,無効審理
mistrust,不信
misty,霧の
misunderstand,誤解する
misunderstanding,誤解
misuse,誤用
mitigate,軽減する
mitigated,緩和
mitigating,軽減する
mitigation,緩和
mitochondrial,ミトコンドリアの
mitogenic,分裂促進
mitosis,有糸分裂
mitotic,有糸分裂の
Mitsubishi,三菱
mixing,混合
mixture,混合物
moan,うめき声
moat,堀
mob,暴徒
mobbed,もみくちゃ
mobilization,動員
mobilize,動員する
mobster,暴力団員
mockery,嘲り
modelled,モデル化
moderate,穏やかな
moderately,適度に
moderation,節度
moderator,仲裁者
modernity,近代性
modernization,近代化
modernize,近代化する
modest,ささやかな
modestly,控えめに
modesty,慎み深さ
modicum,少量
modification,変更
modified,変更された
modifier,修飾子
modify,変更する
modish,現代風の
modulate,調節する
modulated,変調された
modulation,変調
modulator,変調器
modulus,率
modus,手口
moha,煩悩
moiety,部分
moist,湿った
moisten,潤す
moisture,水分
molar,臼歯
molasses,糖蜜
molder,蒸れる
moldy,かび臭い
molecular,分子の
molecularly,分子的 
molecule,分子
molehill,モグラ塚
molest,苦しめる
molestation,痴漢
molested,痴漢
molester,痴漢
moll,情婦
mollify,なだめる
mollusk,軟体​​動物
molt,脱皮
molten,溶融
moment,瞬間
momentarily,時々刻々
momentary,瞬間的な
momentous,重大な
momentum,勢い
momma,おかあちゃん
Mon,月
monarch,君主
monarchist,君主制主義者
monarchy,君主制
monastery,修道院
monastic,修道士
Monday,月曜日
monetary,金銭的な
monetized,貨幣化 
money,お金
moneybag,財布
moneychanger,両替商
moneyed,金持ちの
moneylender,金貸し
moneymaker,もうけ仕事
monger,屋
Mongol,モンゴル人
Mongolian,モンゴル語
mongrel,雑種
moniker,あだ名
monitoring,監視
monk,僧侶
monochromatic,単色
monocyte,単球
monocytic,単球の
monogamous,一夫一婦の
monogamy,一夫一婦制
monolayer,単分子層
monolithic,一枚岩
monomeric,単量体の
mononuclear,単核の
mononucleosis,単核症
monophosphate,一リン酸塩
monophyletic,単系統
monopolist,独占者
monopolistic,独占的な
monopolize,独占する
monopoly,独占
monosyllable,単音
monotheism,一神教
monotonic,単調な
monotonous,単調な
monotony,単調
monoxide,一酸化物
monozygotic,一卵性の
monster,怪獣
monstrosity,怪物
monstrous,巨大な
month,月
monthly,毎月
monumental,途方もない
mooch,ねだる
mood,気分
moodiness,怒りっぽさ
Moon,月
moonlight,月光
moonlit,月明かりに照らされた
moonshine,密造酒
moored,係留
mooring,係留
Moorish,ムーアの
moorland,荒れ地
moot,議論の余地がある
mope,塞ぎ込む
moraine,堆石
moral,道徳
morale,士気
moralism,道徳主義
moralistic,教訓的な
morality,道徳
morally,道徳的に
morals,道徳
morass,泥沼
morbid,病的な
morbidity,罹患率
mordant,辛らつな
more,もっと
moreover,さらに
morgue,遺体安置所
moribund,瀕死の
Mormon,モルモン教徒
morn,朝
morning,朝
Moroccan,モロッコ風の
moron,ばか
moronic,ばかな
morose,不機嫌な
morph,モーフィングする
morpheme,形態素
morphogenesis,形態形成
morphogenetic,形態形成の
morphologic,形態学的な
morphological,形態学的な
morphologically,形態学的に
morphology,形態
morrow,明日
morsel,一口
mortal,人間
mortality,死亡
mortally,致命的に
mortgage,住宅ローン
mortician,葬儀屋
mortification,苦行
mortified,恥ずかしい　
mortify,悔しい思いをさせる
mortuary,霊安室
moslem,イスラム教徒
mosquito,蚊
mossy,コケで覆われた
most,最も
mostly,ほとんど
mot,名言
mote,ほこり
moth,蛾
mothball,防虫剤
mother,母
motherhood,母性
motherland,母国
motherly,母親らしい
motile,運動性の
motility,運動性
motion,運動
motioned,合図
motionless,動かない
motions,動作
motivate,やる気にさせる
motivational,やる気を起こさせる
motivator,きっかけ
motive,動機
motorcade,車列
motorist,運転手
motorize,自動車を供給する
motorway,高速道路
mottled,まだらの
mountain,山
mountaineer,登山家
mountaineering,登山
mountainous,山地の
mountainside,山腹
mountaintop,山頂
mounting,取り付け
mourn,悼む
mourned,悲嘆に暮れる
mourner,会葬者
mournful,悲しげな
mouser,ネズミを捕る動物
mousetrap,ネズミ捕り
moustache,口ひげ
mouth,口
mouthful,一口
mouthy,誇大な
movable,動かせる
move,移動
moved,移動
movement,移動
mover,発動機
moviegoer,映画ファン
moving,移動する
mow,刈る
mowed,刈られた
mower,芝刈り機
mown,刈り立て
moxie,勇気
MS,ミシシッピ州
msec,ミリ秒
much,ずっと
muchly,大いに
mucosa,粘膜
mucosal,粘膜の
mucous,粘液の
mucus,粘液
mud,泥
muddle,混乱
muddy,泥だらけの
mudslide,泥流
mugged,強盗
mugger,強盗
mugging,路上強盗
muggy,蒸し暑い　
Mughal,ムガール人
mulberry,桑
mulch,根覆い
mull,岬
mullion,縦仕切り
multicellular,多細胞の
multicenter,多施設
multicolored,色とりどりの
multicultural,多文化の
multiculturalism,多文化主義
multidimensional,多次元
multidisciplinary,学際
multifaceted,多面
multifactorial,多因子性の
multifarious,多種多様の
multifunctional,多機能の
multilateral,多国間の
multilingual,多言語
multimillionaire,億万長者
multinational,多国籍
multiple,複数
multiplexed,多重
multiplication,乗算
multiplicative,乗法
multiplicity,多重度
multiplier,乗算器
multiply,掛ける
multipoint,マルチポイントの
multipurpose,多目的
multiracial,多民族の
multistage,多段
multitude,多数
multitudinous,非常に多くの
multivariable,多変数
multivariate,多変量の
multivitamin,総合ビタミン剤
multiyear,多年にわたる
mum,お母さん
mumble,つぶやく
mummer,無言劇の役者
mumps,流行性耳下腺炎
munch,むしゃむしゃ食う
mundane,平凡な
municipal,市立
municipality,市町村
munition,軍需品
mural,壁画
murder,殺人
murderer,殺人者
murderous,残忍な
murk,暗闇
murky,濁った
murmur,つぶやき
muscarinic,ムスカリン性
muscle,筋
muscular,筋肉の
musculature,筋肉組織
musculoskeletal,筋骨格系の
mused,事も無げ
museo,博物館
museum,博物館
mushy,柔らかな
music,音楽
musically,音楽的に
musing,物思い
musket,マスケット銃
musketeer,銃兵
musky,じゃ香の
Muslim,イスラム教徒
muss,くしゃくしゃにする
must,しなければならない
mustache,口ひげ
muster,奮い起こす
mustered,召集
musty,かび臭い　
mutability,変わりやすさ
mutable,変更可能な
mutagen,突然変異原
mutagenesis,突然変異生成
mutant,変異体
mutate,突然変異する
mutation,突然変異
mutational,変異性の
mutilate,切断する
mutilation,切断
mutineer,佞臣
mutiny,反乱
mutt,雑種犬
mutter,つぶやき
muttered,つぶやいた
mutual,相互
mutualism,共生
mutualist,相互主義者
mutually,相互に
muzzle,銃口
my,私の
mycobacterial,マイコバクテリアの
myeloid,骨髄
myeloma,骨髄腫
myoblast,筋芽細胞
myocardial,心筋の
myocardium,心筋
myocyte,筋細胞
myofiber,筋原線維
myofibroblast,筋線維芽細胞
myopia,近視
myopic,近視の
myotube,爪
myriad,無数
myristate,ミリスチン酸塩
myrrh,ラム酒
myself,自分
mysterious,神秘的な
mysteriously,神秘的に
mystery,謎
mystical,神秘主義の
mysticism,神秘主義
mystification,神秘化
mystified,五里霧中
mystify,神秘
mystique,神秘的雰囲気
myth,神話
mythic,神話の
mythical,神話の
mythological,神話の
mythology,神話
NAACP,全米有色人地位向上協会
nab,逮捕
NaCl,塩化ナトリウム
nadir,天底
nag,口うるさい人
Nagasaki,長崎
nagging,口やかましい　
Nah,いいえ
nahco,炭酸水素ナトリウム
Nahuatl,ナワトル語
nail,爪
naive,素朴な
naively,単純に
naivete,素朴さ
naked,裸
nakedness,剥き出し
name,名
nameless,無名
namely,すなわち
nameplate,銘板
names,名
namesake,同名の人
naming,命名
Nanjing,南京
Nanking,南京
nanny,乳母
nap,昼寝
nape,首筋
Napoleonic,ナポレオンの
nappy,おむつ
nara,奈良
narcissistic,自己陶酔的な
narcissus,水仙
narcotic,麻薬
narrate,物語る
narrative,物語
narrow,狭い　
narrower,狭い　
narrowest,狭い　
narrowing,狭窄
narrowly,狭く
nary,少しも(一つも)～ない
nasal,鼻の
nascent,新生
nasogastric,鼻腔から胃に挿管された
nastier,厄介な
nastiest,厄介な
nastiness,意地の悪さ
nasty,意地の悪い　
natch,当たり前
nation,国家
national,国民
nationalistic,民族主義的な
nationality,国籍
nationalization,国有化
nationalize,国営化する
nationally,全国的に
nationhood,国家
nationwide,全国の
nativity,降誕
natter,おしゃべり
natty,粋な
naturalism,自然主義
naturalistic,自然主義的な
naturalization,帰化
naturalized,帰化した
naturally,自然に
nature,自然
naught,無価値
naughty,いたずらな
nausea,吐き気
nauseate,吐き気を催す
nauseous,吐き気を催させる
nautical,航海の
naval,海軍の
nave,身廊
navel,へそ
navigable,航行可能な
navigational,航行の
Nay,いや
naysayer,反対論者
NCBI,米国国立生物医学情報センター
Neanderthal,ネアンデルタール人
near,近く
nearby,近所の
nearer,近い　
nearest,最寄り
nearly,ほぼ
nearsighted,近視
neatly,きちんと
Nebraska,ネブラスカ州
nebula,星雲
nebulous,漠然とした
necessarily,必ず
necessary,必要
necessitate,必要とする
necessity,必要
necromancer,降霊術師
necropsy,剖検
necrosis,壊死
necrotic,壊死の
necrotize,壊死する
nee,旧姓
need,必要
needed,必要とされる
needful,入用な
needle,針葉樹の葉
needless,不必要
needlessly,不必要に
needlework,刺し子
needy,貧しい　
nefarious,極悪な
negate,否定する
negation,否定
negative,負
negatively,マイナスに
negativity,陰性
neglectful,不注意な
negligence,過失
negligent,怠慢
negligible,ごくわずかな
negotiable,交渉できる
negotiate,交渉する
negotiated,交渉された 
negotiating,交渉
negotiation,交渉
negotiator,交渉者
negro,黒人
neigh,いななき
neighbor,隣人
neighborhood,ご近所
neighbour,隣人
neighbourhood,ご近所
neither,どちらでもない
nematode,線虫
neoclassical,新古典主義の
neocortical,新皮質の
neolithic,新石器時代
neologism,新語
neonatal,新生児の
neonate,新生児
neophyte,新参者
neoplasm,新生物
neoplastic,腫瘍性の
Nepalese,ネパール人
nephew,甥
nephropathy,腎症
nepotism,縁故主義
nerve,神経
nervous,神経質な
nervously,神経質に
nervousness,緊張
nervy,神経質な
ness,岬
nest,巣
nested,入れ子になった
nestled,寄り添った
nether,地下の
nettlesome,いらだたしい
networked,ネットワーク化
neurite,神経突起
neuroblast,神経芽細胞
neuroblastoma,神経芽細胞腫
neurochemical,神経化学の
neurodegenerative,神経変性の
neuroendocrine,神経内分泌の
neuroleptic,神経弛緩薬
neurologic,神経学
neurological,神経学的な
neurologist,神経科医
neurology,神経学
neuromuscular,神経筋の
neuronal,ニューロンの
neuropathic,神経病の
neuropathy,神経障害
neuropeptide,神経ペプチド
neuroprotective,神経を保護する
neuroscience,神経科学
neuroscientist,神経科学者
neurosis,神経症
neurotic,神経症の
neurotoxic,神経毒の
neurotoxicity,神経毒性
neurotoxin,神経毒
neurotransmitter,神経伝達物質
neurotrophic,神経栄養
neut,中性子爆弾
neuter,中性
neutered,去勢
neutral,中性
neutrality,中立性
neutralization,中和
neutralize,中和する
neutron,中性子
Neutropenia,好中球減少症
neutropenic,好中球減少
neutrophil,好中球
neve,雪原
never,決して
nevermind,気にしないで
nevertheless,それにもかかわらず
Nevis,ネビス島
nevus,母斑
new,新しい　
newbie,初心者
newborn,新生児
newcomer,新人
newer,新しい　
newest,最新
newfangled,新しもの好きの
newfound,新発見の
Newfoundland,ニューファンドランド州
newly,新たに
newlywed,新婚
newscast,ニュース放送
newspaper,新聞
newspaperman,新聞記者
newsprint,新聞紙
newsreel,ニュース映画
newsroom,ニュース編集室
Newsweekly,ニュース週刊誌
newsworthy,報道価値のある
newsy,話題の豊富な
next,次
nib,ペン先
Nicaraguan,ニカラグア人
nice,素晴らしい　
nicely,うまく
niceness,きちょうめんさ
nicer,よりよい　
nicest,素敵な
nicety,機微
niece,姪
nifty,気の利いた
Nigerian,ナイジェリアの
niggardly,けちで
nigger,黒人
niggle,小さなことにくよくよする
nigh,近くに
night,夜
nightcap,寝酒
nightfall,日暮れ
nightly,毎晩
nightmare,悪夢
nightmarish,悪夢のような
nightspot,ナイトスポット 
nightstick,警棒
nighttime,夜間
NIH,米国国立衛生研究所 
nihilistic,虚無的な
Nile,ナイル川
nimble,軽快
nimbly,機敏
nine,9
nineteen,19
nineteenth,第19
ninety,90
ninja,忍者
ninth,第9
nippy,すばしこい　
nirvana,解脱
Nissan,日産
nit,寄生虫の卵
nitpick,小うるさい　
nitrate,硝酸塩
nitric,窒素の
nitrogen,窒素
nitrous,亜硝酸の
nitwit,とんちき
NJ,ニュージャージー州
no,いいえ
nobility,気高さ
noble,貴族
nobleman,貴族
noblesse,貴人
noblewoman,上臈
nobly,気高く
nobody,誰も
nocturnal,夜行性の
nod,うなずき
nodal,節の
nodded,うなずいて 
nodule,結節
nog,木栓
noggin,頭
noh,能楽
noisily,わいわい
noisome,悪臭のする
noisy,騒々しい　
nomad,遊牧民
nomadic,遊牧民の
nomenclature,命名
nominal,名目
nominally,名目上
nominate,指名する
nomination,指名
nominative,主格
nominee,名義人
nonadherence,非遵守
nonamer,九量体
nonattainment,未達成
